LOC,Meaningful Names,Comment,Indents,Scope,Inheritance,Polymorphism,class distribution,Spacing,Recursive,Formulas,consistancy,Line Length destribution,Identifier Name Length,identifier frequency,If-else,nasted - if,for loop,while loop,do while loop,nested - loop,switch,array,readability
153,3,2.5,1.1,0.4,0,0,1.3,1.6,0.6,0.1,1,0.2,0.5,0.2,0.1,0,0,0,0,0.3,0,0,high
21,2.9,1.6,0,1,0.9,0,1.3,1.6,0.6,0.1,0.9,0.3,0.9,0.5,0,0.5,0,0,0,0.3,0,0,high
48,2.8,0.9,0,0.6,1.8,0,1.3,1.2,0.6,0.1,1.2,0.2,0.5,0.5,0,0.5,0,0,0,0.3,0,0,low
121,2.5,2.3,0.9,0.3,0.9,0,1.3,1.6,0.6,0.1,1.2,0.3,0.4,0.2,0,0,0,0,0,0.3,0,0,high
7,3.8,3,0,1.4,0,0,1.3,0,0.6,0.1,0.8,0.5,0.6,0.5,0,0.5,0,0,0,0.3,0,0.2,high
39,1.7,0,1.4,0.3,0,0,1.3,0.8,0.6,0.1,1,0.3,0.4,0.3,0,0.5,0.7,0.3,0,0.1,0,0,low
37,2.2,0.6,1.4,0.4,0,0,0.7,1.3,0.6,0.1,1.1,0.2,0.7,0.3,0,0.5,1,0,0,0.3,0,0,low
10,2.2,1.9,1.4,1.4,0,0,1.3,1.6,0.6,0.1,0.7,0.3,0.3,0.7,0.1,0.5,0,0,0,0.3,0,0.3,high
19,2.2,2,1.4,1.3,0,0,1.3,1.6,0.2,0.1,0.9,0.2,0.3,0.4,0.1,0.2,0,0,0,0.3,0,0.3,low
13,3.2,2.3,0,1.4,0,0,1.3,1.6,0.6,0.1,1.2,0.4,0.8,0.4,0,0.5,0,0,0,0.3,0,0.5,high
47,0,2.5,0,0.2,0.6,0.1,1.3,1.1,0.1,0.1,0.8,0.2,0.7,0.6,0,0.5,0,0,0,0.3,0,0.1,low
14,3.2,3.7,0,0.5,0,0,1.3,0.4,0.6,0.1,0.8,0.2,0.3,0.6,0,0.5,0,0,0,0.3,0,0.2,low
20,2.2,0,0,0.2,0.4,0,1.3,0.3,0.6,0.1,0.9,0.2,0.3,0.5,0,0.5,0,0,0,0.3,0,0.1,low
12,2.9,0,0,1.1,0,0,1.3,0,0.2,0.1,0.6,0.2,0.6,0.4,0.1,0.5,0,0,0,0.3,0,0.3,low
32,3,0,0,0.2,0.4,0,1.2,0.4,0.6,0.1,0.9,0.2,0.6,0.5,0,0.5,0,0,0,0.3,0,0.1,low
